ID,Expression,SUCCESS,TIME,Expression_Details
sogn_s_83_97_100,x1-x2,1,2.915833235,"sub,add,sub,x2,x2,x1,add,x2,sub,x2,x2"
sogn_s_83_98_100,x1-x2,1,2.935702324,"add,sub,x1,x2,sub,x1,x1"
sogn_s_83_99_100,x1-x2,1,2.797542095,"sub,sub,add,add,mul,x1,div,sub,x2,x2,x1,x2,x1,x2,x2"
sogn_s_83_100_100,x1-x2,1,2.796203852,"sub,add,sub,x1,x1,x1,x2"
sogn_s_84_1_100,zoo*x2+x1-x2,0,2.760088205,"sub,x1,add,x2,div,sub,sub,x2,x2,add,x2,x2,sub,x1,x1"
sogn_s_84_2_100,x1-x2+1/(x2*(x1+x2*(x1+x2**2/x1))),0,2.755586147,"add,sub,x1,x2,div,x2,mul,mul,x2,add,mul,add,div,mul,x2,x2,x1,x1,x2,x1,x2"
sogn_s_84_3_100,x1-x2-x2/x1,0,2.754650116,"sub,x2,add,sub,add,x2,sub,x2,x2,sub,x1,x2,div,x2,x1"
sogn_s_84_4_100,x1-x2,1,2.82646656,"sub,sub,sub,x1,x2,sub,x1,x1,sub,x1,x1"
sogn_s_84_5_100,zoo*x1+x1-x2,0,2.768835783,"sub,sub,x1,div,x1,sub,x1,x1,x2"
sogn_s_84_6_100,x1+x1/(x1*x2-x1)-x2,0,2.864400387,"add,add,sub,x1,x1,sub,div,x1,sub,mul,x1,x2,x1,x2,x1"
sogn_s_84_7_100,x1*x2/(x1-2*x2*(-2*x1*x2+x1))+x1-x2,0,2.717596769,"sub,add,mul,div,x2,sub,x1,mul,sub,x1,mul,add,x1,x1,x2,add,x2,x2,x1,x1,x2"
sogn_s_84_8_100,x1+x2*(-x1+x2)/(x1+x1/x2),0,2.68102479,"add,div,sub,x2,x1,div,sub,add,x1,sub,x1,sub,x1,add,div,x1,x2,x1,x1,x2,x1"
sogn_s_84_9_100,x1-x2-(x1-x2)*(x2+1)/x2**2,0,2.78604126,"sub,sub,x1,div,div,sub,x1,x2,div,x2,add,div,x1,x1,x2,x2,x2"
