ID,Expression,SUCCESS,TIME,Expression_Details
sogn_+_1_58_100,x1+x2,1,5.877716541,"add,sub,x2,x1,add,x1,x1"
sogn_+_1_59_100,x1+x2,1,6.128740072,"sub,add,x2,add,x2,div,sub,x2,x2,x2,sub,x2,x1"
sogn_+_1_60_100,x1+x2,1,7.390482426,"add,sub,x1,x2,add,sub,x2,sub,x1,x2,x1"
sogn_+_1_61_100,x1+x2,1,7.880008936,"add,add,x1,sub,x1,x1,x2"
sogn_+_1_62_100,x1**2/x2+x1+x2,0,5.467060566,"add,x1,add,div,mul,x1,x1,x2,x2"
sogn_+_1_63_100,-x1**2/x2+x1+x2,0,6.05382061,"sub,x2,add,x2,sub,sub,mul,div,x1,x2,x1,x1,x2"
sogn_+_1_64_100,x1-x1/x2+x2,0,6.352658749,"sub,add,x1,x2,div,sub,x1,div,sub,x1,x1,div,div,x1,x1,x1,x2"
sogn_+_1_65_100,x1+x2,1,5.817420006,"add,sub,sub,x1,x1,sub,sub,x1,x2,x1,x1"
sogn_+_1_66_100,x1**2/x2+x1+x2,0,5.578956604,"add,x2,add,div,mul,x2,div,mul,x1,x1,div,mul,x2,x1,x1,x2,x1"
sogn_+_1_67_100,x1+x2,1,6.955192089,"sub,add,x2,x1,mul,sub,add,div,sub,div,mul,x1,x1,x1,x1,x1,x1,x1,x2"
sogn_+_1_68_100,x1*(x2-(-x1-x1/x2)/x1)/x2+x2,0,5.639997721,"add,mul,div,sub,x2,div,add,sub,sub,div,sub,x2,add,x1,x2,x2,x1,x1,x1,x1,x2,x1,x2"
sogn_+_1_69_100,x1+x1/(x2-x2/x1)+x2,0,6.726307154,"add,x1,add,x2,div,x1,sub,x2,div,x2,x1"
sogn_+_1_70_100,x1*x2/(x1+x2)+x2**2/(x1+x1/x2)+x2,0,8.536989212,"add,div,x2,div,add,div,x1,x2,x1,x2,add,div,mul,x1,x2,add,x1,x2,x2"
sogn_+_1_71_100,x1+x2,1,6.756654501,"add,sub,x2,x2,sub,x1,sub,x1,add,x1,x2"
sogn_+_1_72_100,-2*x1**2/(x1-3*x2/x1)+x1+x2,0,7.861826897,"add,x1,sub,x2,div,add,x1,x1,div,sub,x1,div,add,add,x2,x2,x2,x1,x1"
sogn_+_1_73_100,x1+x2-1/x2,0,6.598840714,"add,x1,sub,x2,div,div,add,x1,sub,x2,x2,x1,x2"
sogn_+_1_74_100,x1**2/x2+x1+x2,0,5.19535923,"add,x2,add,mul,div,x1,x2,add,mul,sub,x1,x1,div,x1,x2,x1,x1"
sogn_+_1_75_100,x1+x2,1,5.261397839,"add,x2,x1"
sogn_+_1_76_100,3*x1+x2,0,5.290920258,"add,x1,add,x2,div,mul,div,x1,x1,x1,div,x2,mul,div,add,x2,x2,x2,x2"
sogn_+_1_77_100,(x1+x2*(x1+x2))*(x2+1)/x2**2,0,8.231961012,"mul,div,add,x2,div,x2,x2,x2,div,add,x1,mul,x2,add,x2,x1,x2"
sogn_+_1_78_100,x1-x1/x2+x2,0,8.389102459,"add,x2,sub,x1,div,x1,x2"
sogn_+_1_79_100,x1**2/x2+x1+x2,0,8.25403738,"add,x1,add,div,x1,div,x2,x1,div,mul,x2,x2,x2"
sogn_+_1_80_100,x1-x1/(x1+1)+x2,0,6.454029322,"add,sub,sub,x1,sub,x2,x2,div,x1,add,x1,div,x2,x2,x2"
sogn_+_1_81_100,x1+x2,1,5.677787066,"add,mul,div,x1,x1,x1,x2"
sogn_+_1_82_100,x1*(x1+x2)/x2+x2,0,7.154486895,"add,x2,div,add,x2,x1,div,x2,x1"
sogn_+_1_83_100,x1+x1/(x2*(x1**2*x2**2-x1))+x2,0,7.479833126,"add,x1,add,x2,div,x1,mul,x2,sub,mul,x1,mul,mul,x2,x1,x2,x1"
sogn_+_1_84_100,x1+x2+x2/(x1**2*(-x1+x2)),0,5.508756638,"add,add,x2,x1,div,x2,mul,x2,mul,mul,x1,x1,div,sub,x2,x1,x2"
sogn_+_1_85_100,x1+x2-x2*(x1*x2+x2)/x1**2,0,7.018725872,"add,x1,sub,x2,div,x2,div,x1,div,add,mul,mul,div,x1,x1,x2,x1,x2,x1"
sogn_+_1_86_100,x1*(x2+(x1**2+x1)/x2)/x2+x2,0,7.654009581,"add,x2,div,mul,add,x2,div,add,div,mul,x1,mul,x1,x1,x1,x1,x2,x1,x2"
sogn_+_1_87_100,2*x1+x2,0,5.740431309,"sub,add,x1,add,x1,add,add,x2,sub,mul,div,x1,x2,x2,x1,x1,x1"
sogn_+_1_88_100,x1+x2,1,6.462077856,"add,add,x2,x1,mul,sub,x1,x1,sub,div,x2,x2,x2"
sogn_+_1_89_100,x1+x1/x2+x2,0,6.633564234,"add,sub,add,x2,sub,x2,sub,sub,x2,x2,x1,x2,div,x1,x2"
sogn_+_1_90_100,x1+x2+1/(x1*x2**4),0,6.0982728,"add,add,x1,x2,div,div,x2,x2,mul,mul,mul,mul,x2,x2,x2,x2,x1"
sogn_+_1_91_100,x1+x2+x2/(x1*(-x1+x2**2)+x1+2*x2),0,5.550191402,"add,x1,add,div,x2,add,add,x2,x1,add,mul,sub,mul,x2,x2,x1,x1,x2,x2"
sogn_+_1_92_100,x1+x2,1,5.857445717,"add,x2,add,x1,mul,sub,x1,x1,sub,x1,add,x1,x1"
sogn_+_1_93_100,3*x1+x2-x2/x1,0,5.617021322,"add,x1,sub,x2,div,x1,div,x1,add,sub,sub,sub,div,x2,x1,x2,x1,x1,x2"
sogn_+_1_94_100,x1+x2,1,5.020394087,"sub,x1,sub,mul,x1,mul,mul,sub,x2,x2,x2,add,sub,x2,x2,x1,x2"
sogn_+_1_95_100,0,0,4.957845449,"add,x1,sub,add,x1,x2,div,x2,div,add,sub,add,sub,div,x1,x1,x1,x1,x1,x2,x1"
sogn_+_1_96_100,x1+x2-1/(x1*(x1*x2+x2)),0,5.189759731,"add,x2,sub,x1,div,x2,mul,add,x2,mul,x1,x2,mul,x1,x2"
sogn_+_1_97_100,x1**3/x2+x1+x2,0,5.143854618,"add,x2,add,x1,div,mul,x1,x1,div,x2,x1"
sogn_+_1_98_100,x1**2/x2**2+x1+x2,0,5.071041346,"add,add,x1,x2,mul,x1,div,x1,mul,x2,x2"
sogn_+_1_99_100,x1+x2,1,4.826506615,"sub,x2,sub,sub,x2,mul,x2,sub,x1,x1,add,x2,x1"
sogn_+_1_100_100,x1+x1/x2+x2,0,4.966424465,"add,div,x1,x2,add,mul,x1,sub,x1,div,mul,add,sub,sub,x1,x2,div,x1,x1,x2,x2,x2,x2"
sogn_+_2_1_100,x1+x2,1,4.704930782,"add,add,x2,mul,sub,x1,x1,mul,x1,mul,x2,div,x2,x2,x1"
sogn_+_2_2_100,x1+x2,1,4.553083658,"add,x2,add,sub,x1,x1,x1"
sogn_+_2_3_100,x1-x1/x2**2+x2,0,4.607851267,"add,x1,sub,x2,mul,x1,div,x1,mul,mul,x2,x2,x1"
sogn_+_2_4_100,x1+x2,1,4.796978951,"add,sub,x1,x1,add,x2,x1"
sogn_+_2_5_100,x1-x1/x2+x2,0,4.572303295,"sub,x1,sub,div,x1,x2,x2"
sogn_+_2_6_100,x1+x2+(x1+x2)/x2**2,0,4.637052536,"add,x2,add,x1,div,div,add,x2,x1,div,x1,div,x1,x2,x2"
sogn_+_2_7_100,x1+x1/(x1*x2+x1)+x2,0,4.819816828,"add,x1,add,x2,div,x1,add,x1,mul,x2,x1"
sogn_+_2_8_100,x1+x2-1/2,0,4.787458897,"add,x1,sub,x2,div,x2,add,x2,x2"
sogn_+_2_9_100,#DIV/0!,0,4.711782694,"add,x1,sub,x2,mul,x2,div,x1,add,add,x2,div,x2,x1,x1"
sogn_+_2_10_100,x1+x1/x2+x2,0,4.59361434,"add,add,x2,add,div,x1,x2,x2,sub,div,mul,x2,x1,x2,x2"
sogn_+_2_11_100,x1+x2**2/(-x1+x2),0,4.601139545,"add,x1,mul,x2,div,x2,sub,x2,x1"
sogn_+_2_12_100,x1+x2+1,0,4.778356314,"add,x2,add,div,div,x1,mul,add,sub,div,x1,mul,x2,x1,x2,x2,x2,x1,x1"
sogn_+_2_13_100,x1**2/(-x1+(x1-x2)/x1**2)+2*x1+x2,0,4.487941742,"add,add,add,x1,x1,mul,div,x1,sub,div,div,sub,x1,x2,x1,x1,x1,x1,x2"
sogn_+_2_14_100,x1+x1/(x1**2+x2)+x2,0,4.62236762,"add,add,x2,x1,div,mul,mul,div,x2,mul,add,mul,x1,x1,x2,x1,x1,x1,x2"
sogn_+_2_15_100,x1+x2,1,4.649687767,"add,x1,sub,x2,sub,x2,x2"
sogn_+_2_16_100,x1+x1/x2+x2+x2/(x1+x2**2+x2),0,4.871685743,"add,add,x1,x2,add,div,x1,x2,div,x2,add,mul,x2,x2,add,x1,x2"
sogn_+_2_17_100,x1+x2,1,4.916659117,"sub,add,x1,x2,sub,x1,x1"
sogn_+_2_18_100,x2,0,5.28446126,"add,x2,add,x2,sub,sub,x1,x2,mul,x2,div,x1,x2"
sogn_+_2_19_100,x2,0,12915.00182,x2
sogn_+_2_20_100,x1+x1/(x1+x2)+x2,0,4.548202038,"add,x1,add,x2,div,x1,add,x2,x1"
sogn_+_2_21_100,x1+x2,1,4.516195774,"add,x2,add,x1,sub,x1,x1"
sogn_+_2_22_100,x1*(x1/(-2*x1+2*x2)+x2)/x2+x2,0,4.75616169,"add,x2,mul,x1,div,add,div,x1,mul,add,x2,x2,div,sub,x2,x1,x2,x2,x2"
sogn_+_2_23_100,x1+x2+1/x2,0,4.413895369,"add,add,x1,x2,div,div,x2,x2,x2"
sogn_+_2_24_100,x1+x2+(x1+x1/x2)/x2,0,4.637348175,"add,x2,add,x1,div,mul,div,mul,x1,div,sub,add,add,div,x1,x2,x1,x1,x1,x2,x2,x2,x1"
sogn_+_2_25_100,x1+x2+1/x1,0,4.653551817,"add,add,div,div,x2,x2,x1,sub,add,add,x2,mul,x2,sub,x2,x2,x2,x2,x1"
