ID,Expression,SUCCESS,TIME,Expression_Details
sogn_d_49_87_100,0,0,1.397598505,"mul,add,div,x2,x2,add,x1,x2,sub,x1,x1"
sogn_d_49_88_100,zoo*x1,0,1.415527105,"div,x1,sub,x2,sub,x1,sub,x1,x2"
sogn_d_49_89_100,0,0,1.410089493,"div,sub,x1,x1,add,div,x1,div,x1,x2,x2"
sogn_d_49_90_100,zoo*x1**2*x2,0,1.799168587,"mul,x2,sub,add,mul,x1,div,x1,sub,div,x1,div,x1,x2,x2,x1,x1"
sogn_d_49_91_100,x1+x2,0,1.965286016,"div,x2,mul,x1,div,div,x2,x1,add,mul,mul,x2,div,x2,x2,div,x1,x2,x2"
sogn_d_49_92_100,x1/(-x1-x2*(-x1+x2)),0,1.371168852,"div,x1,sub,x2,add,x2,add,mul,x2,sub,x2,x1,x1"
sogn_d_49_93_100,2*x1/x2,0,1.414328575,"mul,x1,div,add,x1,x1,mul,x2,x1"
sogn_d_49_94_100,x1/(-x1/x2+x2),0,1.411981583,"div,x1,sub,x2,mul,div,x1,x2,sub,add,x2,div,x1,x1,x2"
sogn_d_49_95_100,x1/(-x2+1+x2/x1),0,1.486919165,"div,x1,add,div,x2,x1,sub,div,x2,x2,x2"
sogn_d_49_96_100,x1/(x1**2*(x1+x2)/x2+x1),0,1.415074348,"mul,x2,div,x1,mul,add,mul,div,add,x1,x2,div,add,mul,sub,x1,x1,x2,x2,x1,x1,x1,x2"
sogn_d_49_97_100,-x1+x2**2/(2*x1),0,1.408409595,"mul,mul,div,div,x1,x1,mul,div,x2,sub,div,x2,div,add,x1,x1,x2,x1,x1,x2,x1"
sogn_d_49_98_100,#DIV/0!,0,1.393656254,"div,add,x2,x2,sub,x1,add,mul,x2,mul,x2,sub,add,x1,x1,x2,x1"
sogn_d_49_99_100,(x1+x2)/(x2*(x1*x2+x2)),0,1.695285559,"div,add,x1,x2,mul,add,x2,mul,x1,x2,x2"
sogn_d_49_100_100,x1/(2*x1+x1/(x2-2*x2/x1)),0,1.426634789,"div,x1,add,x1,add,div,x1,div,mul,sub,x2,div,add,x2,x2,x1,x1,x1,x1"
sogn_d_50_1_100,0,0,33.3534317,0
sogn_d_50_2_100,0,0,29.64574051,0
sogn_d_50_3_100,0,0,29.029495,0
sogn_d_50_4_100,0,0,29.23834348,0
sogn_d_50_5_100,0,0,28.72821856,0
sogn_d_50_6_100,0,0,28.67454863,0
sogn_d_50_7_100,0,0,28.85755897,0
sogn_d_50_8_100,0,0,29.01332784,0
sogn_d_50_9_100,0,0,28.82878447,0
sogn_d_50_10_100,0,0,28.89245391,0
sogn_d_50_11_100,0,0,29.23620629,0
sogn_d_50_12_100,0,0,29.05152297,0
sogn_d_50_13_100,0,0,29.04776764,0
sogn_d_50_14_100,0,0,28.86968279,0
sogn_d_50_15_100,0,0,29.23370862,0
sogn_d_50_16_100,0,0,28.84007883,0
sogn_d_50_17_100,0,0,29.13722873,0
sogn_d_50_18_100,0,0,28.40424538,0
sogn_d_50_19_100,0,0,28.83430696,0
sogn_d_50_20_100,0,0,30.64698291,0
sogn_d_50_21_100,0,0,30.99053478,0
sogn_d_50_22_100,0,0,30.50283456,0
sogn_d_50_23_100,0,0,30.00089931,0
sogn_d_50_24_100,0,0,31.05640316,0
sogn_d_50_25_100,0,0,30.67423391,0
sogn_d_50_26_100,0,0,30.25009251,0
sogn_d_50_27_100,0,0,29.32621646,0
sogn_d_50_28_100,0,0,30.2740767,0
sogn_d_50_29_100,0,0,29.81686211,0
sogn_d_50_30_100,0,0,30.66383386,0
sogn_d_50_31_100,0,0,30.86166406,0
sogn_d_50_32_100,0,0,30.55061889,0
sogn_d_50_33_100,0,0,30.82613182,0
sogn_d_50_34_100,0,0,31.00861073,0
sogn_d_50_35_100,0,0,26.03038883,0
sogn_d_50_36_100,0,0,24.68328476,0
sogn_d_50_37_100,x1/(x2-(x1/x2+x2)/(x1*x2)),0,1.276374817,"sub,add,div,x1,add,sub,sub,x1,div,div,add,div,x1,x2,x2,x2,x1,x1,x2,x1,x1"
